,index1,context,Label,혐오 대상,혐오대상(세부),cluster10,cluster20,cluster30
14626,24808,법적으로 금지 안한다고 해외 다녀와서 엿새동안 50여명 만나고 다니는 게 비난 받을 일이 아니라 생각함 격리면제는 일상생활 정도 하란 이야기지 코로나 보호부적같은게 아닌데,정상,,,5,7,19
14631,19,i5 6600 4년반 전쯤 사서 첨 쿨러 들어냄 이야 Apex 돌려도 온도가 최고 60이고 1코어가 50 60 나머지 코어는 50대만 유지하네 캬 할배 회춘,정상,,,7,16,28
14633,2755,엔씨 겜 첨해보는데 인내심이 더이상 버티질 못하겠다 리니지 때부터 개노가다 전문회사라는건 알고있었는데 내 상상을 초월해버리네 권갑 70개 넘게까도 안될놈은 안되더라 오늘은 나오겠지 하는것도 하루이틀 갈수록 접속시간이 줄어들고 오늘 진짜 마지막으로 돌아봤는데 맥댐먹을려고 낭비한 나의 피같은 시간들이 아깝다잉 잘있으라 권게이들 내가 먹지 못한 맥댐은 님들이 대신 먹어다오 흐규흐규 블소 빠잉,정상,,,1,17,26
14640,9238,마도카를 좀 많이 좋아하긴 하는것 같지만 그렇다고 동성애자라 할 정도까진 아니라고 보는데 동인지같은거 빼고 정식으로 애니설정만 놓고 봤을때요,정상,,,9,19,16
14641,10371,한니발,정상,,,3,18,25
14642,22796,춘구안녕,정상,,,3,18,7
14646,20323,"이거 매장서 봤는데 이쁘긴 하더군요, 그런데 고급스럽지 않고 무슨 장난감 같은 느낌이 들더군요 이번에 나온 탭북도 비슷 순전히 여성취향 무광블랙 같은것을 내주면 좋을텐데 없어요 셀용량 확인하고 직원에게 사용시간 물어보니 주춤하더군요 980그램은 그냥 상징적으로 한정 모델 놔두고 1킬로 넘어도 오래쓸 수있는 모델도 출시했음 좋았겠단 생각이 들더군요 저런 울트라씬 모델들은 공통적으로 무슨 램을 독자규격으로 만들어쓰는지 4램에서 확장불능이라고 직원이 말하더군요 ㅠㅠ 소니도 그렇고 마감이나 가격, 사용용도 등 비교해서 그냥 소니 바이오듀오11 폭풍할인 받고 구입했네요",정상,,,7,11,10
14647,19134,불매 운동 지지하면 좌빨 불매 운동 반대하면 토왜페미 지지하면 메갈 페미 반대하면 한남충남북대화 지지하면 종북 남북대화 반대하면 일베이렇게 구분짓고 한쪽으로 몰아가는 극단주의자들 진짜 극혐입니다 시기의 문제때 의견을 내보이면 흑백논리에 쩔은 상대는 나를 한 집단으로 매도시켜버리죠정답이 문제들 과학 법률 팩트의 문제들이 아닌 이념이나 가치관의 문제는 안건마다 개개인의 이견이 있을 수 거고 정답이 없는거에요 대선때는 보수를 총선때는 진보를 찍을 수도 있고 반대도 있는겁니다 멋대로 구분짓고 매도하는 짓은 삼가해야죠,맥락적 정상,"['정치', '기타', '젠더']","['진보계열', '일반외국인', '일반남성']",8,3,9
14648,5628,왜 저러는거냐 에들한테,정상,,,9,5,23
14650,13402,아나꽁꽁 /몹 즉사핵이라던가..,정상,,,9,0,1
14651,2496,할말하않 선 제목은 이거 단독 北 피살 공무원 아들 文에 아빠 잔인하게 죽임당할 나라는 뭘 했나,정상,,,5,14,11
14653,2750,뉴스1,정상,,,3,2,5
14657,23192,50대 남자는 40대만큼 찢우위,정상,,,6,16,28
14671,14171,후,정상,,,3,18,25
14675,22656,애플 쪽이 원스판 이었음,정상,,,7,5,2
14677,17895,와 진짜 멋쪄용 ㅋㅋ,정상,,,3,6,1
14687,16365,쏟아지는 홍어도네,정상,,,3,15,18
14690,9584,뭣헌다고 떳다방을 가고 앉았어 으이구 지금 상황에는 집에 짱박혀 있는게 제일 좋단말이야,정상,,,1,1,1
14691,14603,이 충들의 집착은 정말 중간에 호남출신이 하나라도 끼어있으면 뭐 어쩌려고 근데 함정은 선장 해운사 해경 언딘 구원파 그리고 홍가혜까지 아무도 전라도와 연줄이 엄슴,정상,,,2,10,0
14692,4938,그래서 몽골한테 바그다드 점령당함,정상,,,7,10,14
14693,28722,유리님님이랑 동갑이신줄ㅠㅠ,정상,,,3,5,7
14695,2551,안녕하세요 지금 오산 디플은 10만원이네요ㅠㅜ 동탄이나 수원까진 갈수있는데 정보 좀 주세요ㅠㅜ 베티아도 괜찮습니다,정상,,,2,11,22
14696,1716,또 헬게이트 열림,정상,,,7,5,2
14702,11780,저 여자이고 기혼 여성이에요 동성애에 대해 그냥 저랑 상관없는 일이라고 생각하고 삽니다 근데 코로나때문에 게이 혐오성 글들이 간혹 보이는 거 같아요 물론 사회적 거리두기 해야되는 시점에 클럽 가고 그자체가 참 별로긴 하지만 분위기가 혐오쪽으로 가는건 아닌거 같아요 자꾸 혐오성 글 올리다보면 게이들이 더 숨으려고 하지 검사 받겠어요 그리고 실상 코로나감염자가 게이라는 것도 아니고 그들도 어디선가 감염되어왔을텐대요 지금은 게이니 성소수자니 그들에 대한 비난보다 투명한 검사를 통해서 빨리 감염원 차단하고 극복해나갈 분위기로 가야될거같습니다,정상,,,6,19,16
14705,22387,학교다니고싶다,정상,,,3,18,25
14706,9763,"예수 안믿은게 지옥가는 조건이라면믿고 싶어도 못믿은 수많은 낙태아,삼국시대사람,인디언등등등의 영혼은어떻게 되는거냐고 물어보고예수 믿은 살인범은 천국가고 예수 안믿은 마더테레사는 지옥가는거냐고 물어봤더니입 꾹 닫다가 하는 소리가 불가능해보이는것을 믿는것이 바로 믿음이다 ㅇㅈㄹ",정상,,,5,9,26
14707,14849,보수패널에 왜 맨날 전원책이 나오는지 짜증남,정상,,,7,2,5
14708,25313,하긴 이빨 빠진 호랑이가 후려쳐도 모가지가 한두바퀴 덜 도는 수준이겠지 ㄷㄷ,정상,,,9,16,1
14712,19415,볼 때마다 저러네,정상,,,3,5,2
14715,15397,"2030세대들은 일베성향들에게 속지 말아야 함 부동산에 대한 2030의 분노는 정당하고진보성향의 4050들은 2030세대들과 공감한다는 거 다만, 부동산 문제의 해결방안은 논쟁의 여지가 좀 있음",정상,,,6,19,28
14718,4530,1 강원 16 9 2 대구 16 8 3 경북 16 2 최하위 광주 12 8 보수쪽 지역이 투표율이 더 높네요,정상,,,2,10,20
14719,25704,그리고 사슬완충거리는데 니가뭘처보고온건진몰라도 우보긴 30 맞고 기스도안날때랑 100 처맞고 팔부러졌을때 크라피카가 사슬로막았다는묘사는없다 그떄 크라피카는 왼손으로 펀치를 맞을때 오른손으로 우보긴을 구속하고있었거든,정상,,,7,17,10
14724,1879,요란한 장식을 차량 신랑과 신부를 태운 차량이었다 순백의 웨딩드레스를 입은 신부 그러나 길거리 밖에 신부의 얼굴은 볼 수 없었다 잠시후 부르카 베일 속에 감춰졌던 모습들이 드러났다 신부는 머리부터 발끝까지 치장하고 있었다 이슬람 율법에 따르면 신랑이 결혼식 비용과 지참금까지 준비해야한다 아프가니스탄에서는 10대 청소년 이상의 남자 하객들은 결혼식장에 들어갈 수 없다 신부 이외의 남자가 신부의 얼굴을 봐서는 안된다고 한다 식이 끝나자 신부의 친구들이 서둘러서 화장을 고치기 시작한다 결혼식이 끝나고 피로연 공연 결혼식장에는 성인 남성의 모습은 신랑과 악사 이외는 보이지 않는다 악사들은 결혼식장에서 신랑 이외의 남자들이다 다큐멘터리 촬영 당시 2001년 9 11 테러 대한 미국의 보복으로 2001년 10월 7일 미국 아프가니스탄 전쟁 발발 이후 수도 카불에서 탈레반 정권이 축출된지 얼마 안지나는 시기였다 해당 다큐멘터리의 방영 날짜는 2002년 2월 4일이었다,정상,,,5,14,2
14725,9033,"부산 17개 교회 대면 예배 강행 내주부터 50인 미만 예배 허용 연합뉴스 부산 17개 교회 대면 예배 강행 내주부터 50인 미만 예배 허용, 차근호기자, 문화뉴스 송고시간 2020 09 06 14 21 아니 50인 미만 허용을 해줄거 같으면노래방도 50인 미만이 모이고 PC방도 50인 미만의 이용객이 있으면 허용을 해줘야죠 뭔 업종차별을 하는거도 아니고 동충하초 설명회인지 뭐도 서른명 남짓 모인거에 감염인데 50인 미만의 교회는 코로나 감염이 없다는 근거도 없고뭔 생각인지 궁금하네요 저러다 50인 미만 교회에서 확산되기 시작하면교회에서 감염된거 동선에서 지우려나요 책임지기 싫어서 어디 공무원 다니는 교회가 50인 미만인가",정상,,,4,4,27
14727,2581,그럼 뭐 이민자들 고유레시피 느낌아닐까?,정상,,,6,19,16
14728,15064,평소에도 철기중대 관심좀 ㅠㅠㅠ 뭐 물어 뜯을때만 관심가지지말고 ㅎㅎ다른대학 3명 술먹방했으면 인기글 도배했을거자나여 ㅠㅠㅠ,정상,,,1,1,29
14730,24287,"성소수자를 차별하지 말라던 성소수자들은 정작 자신들의 성이 부끄러운지 연락도 받지 않고 숨어버리네요 주변에 알려질까봐 걱정할만큼 부끄러운 것인가요 당당하다는 자신의 성에 대해당당하게 외치던 자신의 성을 왜 감추려 하는 건가요 지금 대다수의 국민들이 그들의 성취향에 관심이 있는 것이 아니라, 그들이 전파할 수 있는 코로나라는 감염병에 관심을 가지고 걱정하고 있다는 것을 알았으면 좋겠네요",정상,,,8,19,16
14732,14377,허..논문 급 정리네,정상,,,3,2,5
14737,16259,저렇게 도박빚에 허우적 대다가 재애그룹한테 끌려가야 정신 차리지,정상,,,9,0,14
14739,21499,성전환자 군 강제 전역 문제라고 나오는데 같이 이슈됬던 성전환자 여대 입학 반대는 안나오네요 방송작가들이 거기거 거기겠지만 까고 싶은거만 까네요 머 프로그램 패널 수준 자체가 비정상회담보단 별로인듯 Mc들은 좀 나은거 같지만요,정상,,,8,2,5
14740,1744,진보대학생들보다 더하네 아빠라고 하는건 진심 뭐냐 친아빠 오열하겠다,정상,,,5,14,11
14742,12268,0,정상,,,3,18,25
14747,8921,ㅎ감사감사 친구님 ^^ ㅎ  이날 홍어잔치할듯요 ㅎ 💕,정상,,,3,15,18
14750,19039,음 돈주는 교회는 첨듣는듯,정상,,,4,4,27
14751,17318,와 한국철도 마크 엄청 올만에 보내요ㅋㅋㅋ,정상,,,2,10,7
14764,15291,사고난적있는데 부르지도 않은 렉카차 와서 내차랑 상대차 묻지도않고 끌고 가려고 하더라구요 경찰불렀다 왜 맘대로 끌고 가냐했더니 윽박지르면서 개무시하고 집게 올리는데 진짜 무식하고 노답이더군요,정상,,,5,7,17
14765,8633,"초화 원래 차가운 성격이었는데, 귀여운 걸로 설정하면서 바뀐 것 가타 ㅎ",정상,,,9,0,1
14772,22431,안전한 교회오빠 보검이 하세요 ㅡㅡ,정상,,,4,4,27
14773,16573,장애인새끼도 패드립인데,맥락적 정상,['장애인'],['신체장애'],7,5,2
14775,15963,성평등이 아니고 여성우대 사회를 만들다는거겠지,정상,,,6,12,13
14787,18810,지들부터 남자 방송 안보면서ㅋㅋㅋ,정상,,,6,12,13
14792,14853,캡 틴티모,정상,,,7,5,2
14793,27315,ㅋㅋ 귀여워,정상,,,3,6,12
14796,7300,1 ㅈㅂ좀ㅇ 정보좀요 2 패션업계 컬라버 안한거 스파오 엽떡 3 인기있던 챌린지 아닌것 노인스턴트챌린지 4 디자인은 알작딱깔센 5 자기 위치 공유 젠리 6 실제 출시되지 않은 굿즈 동아오츠카 데자와파운데이션 7 민초단 무관 단어 에코백 8 지코 챌린지 플랫폼 틱톡 9 SNS 유행 레시피 아닌것 파인애플피자 10 본캐 부캐 잘못 연결된것 비 깡 11 브랜드와 캐릭터명 틀린것 농심 고슴이 12 칭찬의 의미가 아닌것 노답이다 13 방구석에서 즐기는 방탄콘서트 방방콘 14 코로나로 연기 안된것 베니스국제영화제 15 유튜브 채널 없는 연예인 화사,정상,,,7,5,2
14799,16274,뭐짘ㅋㅋ,정상,,,3,6,12
14804,16036,ㅋㅋ 상호존중을 동성애반대인것처럼 바꾸려고하내,정상,,,2,19,16
14805,18313,윤석열VS이재명에 대한 여론조사 지지율이 요동치며 점차 격차가 확대되고 있다 특히 눈여겨볼 점은 여론조사 기관별 각 후보에 대한 지지율이 거꾸로 역전되거나 윤석열 후보의 상승세로 연결되는 점에 있다 흥미로운 것은 과거 민주당의 지지율 상승시기의 여론조사를 주도하던 리얼미터의 여론조사는 이전부터 완벽하게 윤석열 후보의 우세를 나타내고 있고 과거 그나마 국민의힘 보수권의 지지율이 비교적 높게 나오던 갤럽은 이전까지 이재명에 조금 더 지지율이 높게 나오는 것으로 유명했는데 그나마 지금은 윤석열 후보가 오차범위를 한참 웃도는 지지율 역전현상을 발표하고 있다 그런가하면 진보기관에서 의뢰한 여론조사에서도 지속적인 윤석열 후보의 우세가 나타나고 있고 계속 그 격차는 벌어질 것으로 예상할 수 있게 되었다 자 왜 이런 결과가 나올까 왜 다자대결임에도 윤석열 후보가 압도적 우위를 점하고 있을까 그것은 이재명의 온갖 짙은 의혹이 많아서이고 그에 따른 수사는 미진하거나 거의 손을 놓고 있는 형편임을 국민이 알기 때문이다 앞에서는 공정과 정의를 외치지만 온갖 범죄의혹을 요리조리 피하기만 하는 이재명을 국민들이 좋아하고 지지할 수 있을까 이재명과 민주당은 진작에 정정당당하게 특검을 받았어야 했다 오죽했으면 이대남 외에 이대녀들도 이재명을 기피할까 한마디로 문재인 시즌2를 준비하던 이재명은 국민에 대한 진정성도 안보이고 본인과 가족 주변 측근들의 온갖 의혹에 대한 나름의 해명이 먹히지 않는 와중에 서서히 침몰하는 줄도 모르고 침몰하는 선장이 되고 있다,정상,,,8,3,9
14808,14618,장창 유방의 친구인 왕릉의 친구로 유방 밑에서 일하다가 잘못을 저질러서 사형당하게 됨 사형집행을 하기 옷을 벗기다가 보니까 피부가 곱고 예뻐서 그걸 보고 유방이 살려줌 후로 유방 밑에서 어찌저찌 잘 살다가 말년에 은퇴해서 어린 임산부 수백명을 첩으로 삼고 모유를 빨아먹다가 애를 낳으면 다시는 보지 않았다고함,정상,,,5,14,26
14809,15668,행정부에서 뭐라고 생각하건 요번 동물보호법 관련 걸린거 최근 판결에선 축산물 관련법을 끌어다가 봐야 한다고 판시하기도 한걸보면 이도저도 아니라고 봐야,정상,,,2,7,17
14810,21908,와 작샤 아시는구나 명 작 입 니 다 1기는,정상,,,3,5,23
14815,5279,누구는 김치라그러고 짱깨라그러고,맥락적 정상,"['인종', '기타']","['일반여성', '중국']",3,5,1
14824,24748,usage 제발 결승에서 만나자 결승가게해주세요,정상,,,3,18,7
14826,28564,포그바OUT 은퇴해 와인형,정상,,,2,10,0
14827,1042,할 말이 없으면 그냥 가만히나 있는걸 추천합니다,정상,,,9,9,4
14828,12105,習近平 마누라의 기를 죽인 미술계를 죽인다 처음부터 그 생각 뿐이었다,정상,,,9,17,3
14832,20841,오마이갓,정상,,,3,18,25
14834,3012,홍어찌게라...홍어를 못묵는데...리더님이 이리 극찬하시니...어수라 익히 반찬맛집 생선구이가 일품인집...그러하니 홍어찌게 또한 일품인듯요!!!축제끝나고 한가해짐 꼭 가봐야겠어요!!!,정상,,,1,15,18
14836,18504,무슨 일인가 해서 봤는데 와 이건 정말 인간 말종이네요 무슨 일이라도 폭력이 정당화될수는 없지만 정말 저 폭력하는 사람은 벌 받았으면 좋겠네요,정상,,,9,17,3
14837,1532,개체명 1100cc 유충병 성별과 크기 종충의 정보 우화일 산지와 누대수 분양가 새상품 개당 500원 미세척 개당 300원수량 문의바람 희망하는 거래방법 직거래 택배 직택 택배비는 구매자 부담 사는 지역과 나이 청주시 15 연락이 가능한 연락처 010 6441 4491 개체의 보증기간 도착시 폐사했을경우 시체회수후 80 환불 5만원이상거래시 이문구 삭제하지마세요 단 곤충가격이 5만원이상인경우에만 위 문구적용됩니다 참고사항 누군가 거래와 관련성이 없는 덧글을 작성 시 본인이 불편하다면 스텝에게 꼭 신고하세요 이문구 삭제하지마세요 기타 하고 싶은 말 분양하는 개체의 사진 흔히 아시는 1100cc 유충병입니다 뚜껑은 스펀지 들어있는 뚜껑입니다,정상,,,2,11,22
14838,3107,이승재 오후 11 58,정상,,,3,18,25
14839,24297,망국의 징조,정상,,,2,0,19
14840,7717,유튜브로 보세요 기분따라 좋아요 ㅋ,정상,,,3,6,7
14842,471,"동남아 여행 다녀왔는데, 베트남 여성들이 정말 예쁘다고 하더라구요 아담하고 이목구비 오목조목하고 전 필리핀 여자가 이쁜 거 같던데 뽐뿌님들은요",정상,,,6,12,13
14843,13786,얘 작성글 봐봐,정상,,,3,2,5
14844,11109,육계장1  무생굴무침1  물미역브로콜리1  주문할께요,정상,,,2,0,7
14847,18517,지난 21 25일 닷새 간 전국 19세 이상 유권자들을 상대로 휴대 30 유선전화 70 임의번호걸기 RDD 자동응답 방식으로 실시됐고 응답자는 2520명 총 통화시도 4만3795명 응답률 5 8 표본오차는 95 신뢰수준에서 2 0 p 전화면접 조사보다 ARS 조사의 응답률이 낮더라도 정확성이 떨어지는 것은 아니라고 밝혔다 응답률 30 이하면 폐기 주장은 근거가 없는 주장 이라고 밝혔다 예전 노무현대통령의 사상최저 지지율이 10 대가 나온 적이 있는 데 원래 응답률 5 8 만으로도 정확하다고 판단하는 근거는 뭔지 모르겠군요,정상,,,8,7,8
14850,8257,예전부터 박지원 하면 휴민트라는 단어가 꼬리를 물고 따라다녔는데 도대체 어느 정도의 정보수집력이길래 남들은 퇴물이 되고도 남을 시기에 국정원장까지 오르는건지 그 능력이 가늠조차 가지를 않네요 이런 양반을 한때 적으로 두고도 살아남아서 대통령이 된 문통은 대체,정상,,,8,3,19
14852,1549,"바로 이전에 최신 아파트로 이사를 하니 참 좋다라고 글을 썼습니다 근데 역시나 어딜가도 꼴통들은 존재하네요 아파트 지하주차장 현관 입구쪽으로 장애인주차 자리가 있고 사진상의 그 윗쪽에 주차를 할수 없는 금지 자리가 있습니다 빨간색 칠해 놓은곳이 주차금지 표지판이구요 여기는 라인 입구로 들어오는 배달이나, 또는 유모차 등 다양한 것들에 불편을 줄 수 있기 때문에 주차를 하지 말라고 주차선도 없고, 주차금지 표지판을 세워둡니다 근데 꼭 여기에 주차를 하는 꼴통이 있네요 주차 지정석이 아닌 관계로 스티커를 붙여놓아도 어김없이 꼭 여기에 주차를 해요 ㅡㅡ 자기 하나 편하자고 이 라인에 사는 모든 사람들과 기타 이유로 방문할 수있는 사람들에게 불편을 초래하고 꼴통은 정말 자기 본인의 성향을 바꾸기가 많이 힘든가봐요 아니면 바꿀 의지가 없는것인지도 어제는 저녁을 먹고 저 주차금지 표지판이 옆으로 치워져있길래 제가 다시 정 중앙에 놓아놨는데, 아침에 출근하려고 나가보니 이번엔 또 다른 차가 버젓이 세워놨네요 ㅠㅠ 아 좀 하지 말라고 하면 하지 말지는",정상,,,5,10,0
14853,24386,"바지락순두부찌개, 홍어무침,달래장 예약할게요~",정상,,,3,15,18
14860,15725,무식 무례 무능 무당 또 뭐 있더라,정상,,,9,9,1
14861,3051,나한테는 끝까지 이전 관련 메일 안보내주네 좋다 나는 북미에 남겠다,정상,,,3,10,7
14862,28597,"뭐, 이런거",정상,,,3,18,23
14864,3282,이익집단이 되어버린 자칭보수당,정상,,,8,3,9
14872,28388,같고요,정상,,,3,6,12
14875,4108,"정보공개 청구를 통해, 국정원의 언론사 사찰문건 500 페이지 최초 공개 국정원에서 만들어진 종북 좌파 PD와 기자 명단 PD수첩 제작진에 대해 대공 차원의 내사 , 연예계와 예능프로그램에도 전방위 개입 이명박 박근혜 정부 당시, 국정원의 언론장악 실태 확인국가정보원이 언론사 사찰을 했다는 사실은 소문으로 그리고 일부 문건으로만 알려져 왔다 지난해 9월 최승호 전 MBC PD는 국정원에 본인과 관련된 정보공개 청구를 했고, 이 내용 중 일부가 공개되었다 이후 다수의 언론인 피해자들이 국정원에 정보공개 청구를 했고, PD수첩 제작진은 500여 페이지에 달하는 국정원 문건을 확보해 언론장악의 실체를 검증하게 되었다 그 내용은 충격적이었다 MBC내 종북 기자 및 PD현황 , MBC내 좌편향 인물 활동실태 문화 연예계, 정부 비판세력 퇴출 추진상황 PD수첩 작가, 대공차원의 내사 필요 특히 PD수첩 작가의 대학생 당시 학생운동 경력을 근거로 대공 차원의 내사까지 검토한 것으로 드러났다 PD수첩 제작진을 이적행위나 간첩으로 몰아 사회적으로 매장시키려 했다는 점에서 공포감마저 느껴지는 대목이다 손석희, 김미화, 김제동 등 앵커와 출연진의 퇴출은 물론 무한도전 등 각종 예능프로그램에 대한 출연자와 방송 내용에 대한 광범위한 간섭도 드러났다 국정원과 청와대로 이어진 언론장악 커넥션이번에 확인된 국정원의 언론장악 문건에는 방송 통신심의위, 한국방송광고공사, 언론재단, 감사원 등 다수의 국가기관들이 동원된 정황들이 드러났다 국정원을 통한 온라인 활동 감시와 대응에 대한 흔적도 발견되었다 특히 국정원 언론장악 문건에는 청와대 민정수석, 홍보수석, 기획관리비서관 등에게 국정원이 꾸준히 활동 상황을 문서로 배포한 점도 드러났다 일부 문건에서는 청와대 요청사항 이라는 문구가 문건 상단에 명확하게 적시되었는데, 이는 언론장악의 몸통으로 청와대가 깊숙이 개입했음을 시사하는 대목이다 아울러 박근혜 정부 당시, 세월호 보도를 둘러싼 국정원의 보도 개입도 드러났는데 이는 언론장악의 피해가 언론인뿐만 아니라 결국 고스란히 국민들에게 돌아갈 수 있다는 점을 다시 한번 확인시켜 주었다 MBC PD수첩 국정원과 언론장악 편은 8일 밤 10시 30분에 방송된다",정상,,,8,3,9
14878,950,사실 목사리는 목살을 못 먹은지 1년이 넘었다흑흑 ㅠ 흑돼지 ㅠ,정상,,,1,1,29
14883,6443,어그로한테 먹이주지말고 블라하자,정상,,,1,1,29
14885,5414,1 지나치게 포괄적이고2 어떤 행동이 약자나 소수자를 상대로 이루어졌을때 그 행동이 순전히 그들이 약자 소수자라 이루어진 행동인지의 증명이 어렵고 ex 중국인에 대한 한국인의 인터넷상 혐오는 그들이 약자나 소수자라서가 아님 현실에서 대놓고 차별하는 스킨헤드같은 사람은 못봄 3 법의 최후수단성을 생각해봤을때 저게 정말 입법까지 필요할 정도로 현 사회에 문제가 심각한지4 사실 어느정도 공적인 영역에서의 소수자 차별은 이미 근절된게 아닌지대충 생각하면 이정도임,정상,,,8,3,17
14890,9490,완도는 배안타요...완도쪽이면 목포나 해남쪽 들러 여행하기도 좋으세요,정상,,,2,10,0
14892,11397,상대 물방만 올렸잖아 악포를 가야돼 악포에 붙어있는 고유효과로 딜해야해 그 이자카야의 분노인가 그걸로 딜해야해 퀴소리on,정상,,,5,17,26
14899,26374,"오늘 홍준표가 확실히 꼴통같은 말을 하긴 했죠 그런 말들 여기나 오유같은 진보 사이트에선 비웃음이 지만 그게 먹히는 지역과 나이대, 사상을 가진 사람들이 분명 있습니다 마지막 마무리에 자신의 출생지역 부모님 까막눈 발언 참으로 영악한 사람이더군요 안의 표를 흡수하고 숨은 보수표 이명박근혜 찍고 쪽팔려서 말안하고 침묵을 지키던 사람들 까지 결집하면 만만치 않을 것 같습니다 그 세명 모두 단일화는 안한다고 했지만 그건 끝까지 가봐야죠 아시잖아요 그 사람들 말 바꾸기 선수들인거 40프로가 문재인 후보를 지지하지만 나머지 55프로가 어찌될지 모르겠습니다 5프로 정의당은 논외로 치고 트럼프도 확실히 진다고 했던 언론인데 막상 당선된거보면 전 절대 안심하면 안된다고 생각해요",정상,,,8,3,9
14904,20533,요즘 전쟁입니다 ㅎㅎ 목사편 신도들 vs목사횡령파 신도 쌈인데 이빨 부러지고 팔다리 분질러져서 기부스하고오고 경찰 불러놓고 cctv 없는거 알고 자해한담에 눕고 목사횡령파 교회서 모임갖는다고 그 건물에 미리들어가서 들어눕고 정작 횡령 목사는 뉴스탔을땐 그만둘게 드립했다가 잠잠해지니 다시 목사할게 드립요 기독교 믿는건 아닌데 요즘 재밌어요 조만간 다시 뉴스 타길 바라지만 안나오네요 ㅎㅎ,정상,,,4,4,27
14908,16142,카오스했던애들이 몇이야...,정상,,,7,5,23
14912,18206,근데 그러면서 슐츠는 좀 쳐내면 안되겠냐슐츠도 쳐내고 스위스정성룡도 좀 보내고 비첼도 보내고주급좀애끼자,정상,,,7,17,2
14915,15557,부산행이 최소 망할 일은 없을듯,정상,,,2,11,14
14916,4615,기본 코스튬 일러가 아닌 스킨 일러를 토대로개장 스킨 일러가 되는거는 이번이 처음같은데 아닌가,정상,,,7,5,2
14917,13509,"뭐 옛날에 초장찍어 먹었다고 지금은 다른거 안찍어 먹으라는 법은 없으니
좋아하는거 찍어먹으면 되지.",정상,,,1,1,29
14920,4820,그딴 말 할 시간에 축구나 좀 더 잘해봐,정상,,,3,18,7
14924,8895,이제 돈을 어디서 찾냐는게 문제,정상,,,2,11,22
14926,3464,첫 시식 두번째 이번엔 캡사이신 발라서 혀세척하러 달려감 다섯번째 간장에 찍어먹음 괜찮은데 여섯번째 신남 아 이 향이야 홍어가 이렇게 위험합니다,정상,,,1,15,18
14929,22248,헬스장 문닫으면 맞짱깔준비하셈,정상,,,2,0,14
14930,5130,다뽀각인가 리플이없어,정상,,,7,5,2
14931,10918,피츠로이 선장 개독의 공격에 미치긴 개뿔 잘먹고 잘사다가 말년에 사업실패 건강상에 문제로 자 1살한걸 개1독때문에 죽은 걸로 바꿔서 개1독깜 천주교는 지동설로 한번도 까인적이 없는데 아직도 지동설 교회에서 화형이니 머니 까고 천동설 주장했다고 종교깜 그리고 그거 설명 맞게끔 정정해주면 비추 줌,맥락적 정상,['종교'],['기독교계'],4,4,27
14933,22998,혼 기 9년차 정준하 남충식 딱충이 짱 마약떡볶이 루리웹 검열 은근히 빡셈,정상,,,2,0,1
14935,5010,모기가 따라들어오더라 잘때마다 너무짜증나 모기 없어졌으면,정상,,,9,9,1
14939,4381,"아시는 분들은 아시다시피 비록 김진태가 친박 코어 꼴통으로 이제는 보수 사이에서도 터부시 받는 미친개로 취급 받는 인물이지만 구린놈이 구린것은 잘맡는다는 세상 순리처럼 석열이 건수는 꽤나 제대로 물고늘어졌었죠 이렇듯 윤석열씨는 애시당초 정무경력도 0 저는 기본적으로 정무경력이 일천한 자는 그쪽 관련해서는 여야를 가리지않고 마이너스로 봅니다 처음 정치입문하던 안철수나 반기문,윤석열,조국,이준석등이요 그렇다고 솔직히 말해서 검사 시절에도 괄목할만한 성과도 없었으며 본인 친인척이 비위에서 떳떳한것도 아닙니다 그렇기에 진심으로 저는 석열씨는 크게 대통령이 될거같지 않으며 설렁 대통에 이른다해도 확고한 지지기반없는 신기루에 기대어 대통령이 된 식물 대통령이 돼리라고 보죠 하지만 홍준표 에게 윤석열이 자신의 지지율을 어떻게든 세련돼게 큰 손실없이 이양하는 모양새가 나온다면 이걸 신출내기 준석이가 할수는 있을지 아니 ㅋㅋ 그냥 생각이라도 할수있을지 저는 농담안하고 민주당으로써는 이길 각이 잘 보이지않고 그저 준표 돼지발정제와 막말 몇가지 정책실패 관해서만 테클 걸수있는 승산이 보이지않는 무출구 대선이 돼리라고 봅니다 뭣보다 중요한건 홍준표 가 윤석열 보다는 인물 이라는 점이며장모 껀수나 정무경험0 살아온 인생의 스토리등이 미비한데다 반문 반민주 정서라는 모래알 지지율을 등에 업고 운빨로대통령이 된 윤석열씨에 비해서 모래시계 검사 , 경남도지사 , 아가리에만 똥을 물었지 삶의 행적은 대선검증도 한번 통과한 양반 이런 홍준표를 국민들이 제대로 알게돼어 그를 대통령으로 만들어준다 그렇다면 윤석열이 휘두르는 칼날의 크기에는 훨씬 비교도 안돼는 거대하고 맹렬한 칼날이 현 정부와 여당의 인사들에게 들이닥치리라 확신합니다 그것이 옳고 그름을 떠나서 말이죠",정상,,,8,3,9
